weak,strong,grade,anchor,pragmatic,logical
allowed,obligatory,A,Travelers are allowed to bring one carry-on bag.,Travelers are not obligated to bring one carry-on bag.,Travelers are obligated to bring one carry-on bag.
allowed,obligatory,A,Clients are allowed to reschedule their appointments.,Clients are not obligated to reschedule their appointments.,Clients are obligated to reschedule their appointments.
allowed,obligatory,A,Students are allowed to take notes during lectures.,Students are not obligated to take notes during lectures.,Students are obligated to take notes during lectures.
allowed,obligatory,A,Children are allowed to choose their own ice cream flavors.,Children are not obligated to choose their own ice cream flavors.,Children are obligated to choose their own ice cream flavors.
allowed,obligatory,A,Parents are allowed to attend school events.,Parents are not obligated to attend school events.,Parents are obligated to attend school events.
allowed,obligatory,A,Employees are allowed to request time off for personal matters.,Employees are not obligated to request time off for personal matters.,Employees are obligated to request time off for personal matters.
allowed,obligatory,A,Participants are allowed to choose their teams for the project.,Participants are not obligated to choose their teams for the project.,Participants are obligated to choose their teams for the project.
allowed,obligatory,A,Visitors are allowed to explore the gardens at their leisure.,Visitors are not obligated to explore the gardens at their leisure.,Visitors are obligated to explore the gardens at their leisure.
allowed,obligatory,A,Employees are allowed to provide input on company policies.,Employees are not obligated to provide input on company policies.,Employees are obligated to provide input on company policies.
allowed,obligatory,A,Guests are allowed to access the VIP lounge.,Guests are not obligated to access the VIP lounge.,Guests are obligated to access the VIP lounge.
allowed,obligatory,A,Participants are allowed to showcase their artwork.,Participants are not obligated to showcase their artwork.,Participants are obligated to showcase their artwork.
allowed,obligatory,A,Students are allowed to attend guest lectures.,Students are not obligated to attend guest lectures.,Students are obligated to attend guest lectures.
allowed,obligatory,A,Employees are allowed to take part in team-building activities.,Employees are not obligated to take part in team-building activities.,Employees are obligated to take part in team-building activities.
allowed,obligatory,A,Customers are allowed to sample products before buying.,Customers are not obligated to sample products before buying.,Customers are obligated to sample products before buying.
allowed,obligatory,A,Teams are allowed to brainstorm new ideas during meetings.,Teams are not obligated to brainstorm new ideas during meetings.,Teams are obligated to brainstorm new ideas during meetings.
allowed,obligatory,A,Participants are allowed to engage in discussions about the topic.,Participants are not obligated to engage in discussions about the topic.,Participants are obligated to engage in discussions about the topic.
allowed,obligatory,A,Pets are allowed to accompany their owners in stores.,Pets are not obligated to accompany their owners in stores.,Pets are obligated to accompany their owners in stores.
allowed,obligatory,A,Teachers are allowed to offer extra credit opportunities.,Teachers are not obligated to offer extra credit opportunities.,Teachers are obligated to offer extra credit opportunities.
allowed,obligatory,A,Athletes are allowed to express their emotions after a game.,Athletes are not obligated to express their emotions after a game.,Athletes are obligated to express their emotions after a game.
allowed,obligatory,A,Participants are allowed to submit multiple entries into the contest.,Participants are not obligated to submit multiple entries into the contest.,Participants are obligated to submit multiple entries into the contest.
allowed,obligatory,A,Students are allowed to attend workshops on financial literacy.,Students are not obligated to attend workshops on financial literacy.,Students are obligated to attend workshops on financial literacy.
allowed,obligatory,A,Employees are allowed to have flexible lunch hours.,Employees are not obligated to have flexible lunch hours.,Employees are obligated to have flexible lunch hours.
allowed,obligatory,A,Students are allowed to submit their assignments late.,Students are not obligated to submit their assignments late.,Students are obligated to submit their assignments late.
allowed,obligatory,A,Dogs are allowed to play in the park.,Dogs are not obligated to play in the park.,Dogs are obligated to play in the park.
allowed,obligatory,A,Employees are allowed to take a lunch break.,Employees are not obligated to take a lunch break.,Employees are obligated to take a lunch break.
allowed,obligatory,A,Visitors are allowed to take photos in the museum.,Visitors are not obligated to take photos in the museum.,Visitors are obligated to take photos in the museum.
allowed,obligatory,A,Children are allowed to stay up late on weekends.,Children are not obligated to stay up late on weekends.,Children are obligated to stay up late on weekends.
allowed,obligatory,A,Drivers are allowed to change lanes when necessary.,Drivers are not obligated to change lanes when necessary.,Drivers are obligated to change lanes when necessary.
allowed,obligatory,A,Members are allowed to bring a guest to the event.,Members are not obligated to bring a guest to the event.,Members are obligated to bring a guest to the event.
allowed,obligatory,A,Students are allowed to use calculators during the exam.,Students are not obligated to use calculators during the exam.,Students are obligated to use calculators during the exam.
allowed,obligatory,A,Tourists are allowed to explore the city on their own.,Tourists are not obligated to explore the city on their own.,Tourists are obligated to explore the city on their own.
allowed,obligatory,A,Athletes are allowed to train at the gym after hours.,Athletes are not obligated to train at the gym after hours.,Athletes are obligated to train at the gym after hours.
allowed,obligatory,A,Parents are allowed to decide on their children's education.,Parents are not obligated to decide on their children's education.,Parents are obligated to decide on their children's education.
allowed,obligatory,A,Customers are allowed to return items within 30 days.,Customers are not obligated to return items within 30 days.,Customers are obligated to return items within 30 days.
allowed,obligatory,A,Writers are allowed to submit drafts for feedback.,Writers are not obligated to submit drafts for feedback.,Writers are obligated to submit drafts for feedback.
allowed,obligatory,A,Patients are allowed to choose their preferred treatment.,Patients are not obligated to choose their preferred treatment.,Patients are obligated to choose their preferred treatment.
allowed,obligatory,A,Players are allowed to take breaks during the game.,Players are not obligated to take breaks during the game.,Players are obligated to take breaks during the game.
allowed,obligatory,A,Guests are allowed to arrive at the party whenever they like.,Guests are not obligated to arrive at the party whenever they like.,Guests are obligated to arrive at the party whenever they like.
allowed,obligatory,A,Artists are allowed to showcase their work publicly.,Artists are not obligated to showcase their work publicly.,Artists are obligated to showcase their work publicly.
allowed,obligatory,A,Participants are allowed to opt out of surveys.,Participants are not obligated to opt out of surveys.,Participants are obligated to opt out of surveys.
allowed,obligatory,A,Volunteers are allowed to choose their tasks.,Volunteers are not obligated to choose their tasks.,Volunteers are obligated to choose their tasks.
allowed,obligatory,A,Attending the concert is allowed for all fans.,Attending the concert is not obligatory for all fans.,Attending the concert is obligatory for all fans.
allowed,obligatory,A,Using personal devices during the meeting is allowed.,Using personal devices during the meeting is not obligatory.,Using personal devices during the meeting is obligatory.
allowed,obligatory,A,Taking breaks during work hours is allowed.,Taking breaks during work hours is not obligatory.,Taking breaks during work hours is obligatory.
allowed,obligatory,A,Wearing a helmet while cycling is allowed.,Wearing a helmet while cycling is not obligatory.,Wearing a helmet while cycling is obligatory.
allowed,obligatory,A,Participating in the community event is allowed.,Participating in the community event is not obligatory.,Participating in the community event is obligatory.
allowed,obligatory,A,Eating snacks during the movie is allowed.,Eating snacks during the movie is not obligatory.,Eating snacks during the movie is obligatory.
allowed,obligatory,A,Submitting the assignment on time is allowed.,Submitting the assignment on time is not obligatory.,Submitting the assignment on time is obligatory.
allowed,obligatory,A,Bringing your own lunch to work is allowed.,Bringing your own lunch to work is not obligatory.,Bringing your own lunch to work is obligatory.
allowed,obligatory,A,Using public transportation is allowed for commuting.,Using public transportation is not obligatory for commuting.,Using public transportation is obligatory for commuting.
allowed,obligatory,A,Reading books for leisure is allowed.,Reading books for leisure is not obligatory.,Reading books for leisure is obligatory.
allowed,obligatory,A,Attending yoga classes is allowed for wellness.,Attending yoga classes is not obligatory for wellness.,Attending yoga classes is obligatory for wellness.
allowed,obligatory,A,Joining the gym is allowed for fitness.,Joining the gym is not obligatory for fitness.,Joining the gym is obligatory for fitness.
allowed,obligatory,A,Watching educational videos is allowed for learning.,Watching educational videos is not obligatory for learning.,Watching educational videos is obligatory for learning.
allowed,obligatory,A,Planting flowers in the garden is allowed.,Planting flowers in the garden is not obligatory.,Planting flowers in the garden is obligatory.
allowed,obligatory,A,Volunteering at the shelter is allowed.,Volunteering at the shelter is not obligatory.,Volunteering at the shelter is obligatory.
allowed,obligatory,A,Taking part in team sports is allowed.,Taking part in team sports is not obligatory.,Taking part in team sports is obligatory.
allowed,obligatory,A,Reading the terms and conditions is allowed.,Reading the terms and conditions is not obligatory.,Reading the terms and conditions is obligatory.
allowed,obligatory,A,Carpooling to work is allowed.,Carpooling to work is not obligatory.,Carpooling to work is obligatory.
allowed,obligatory,A,Listening to podcasts is allowed for relaxation.,Listening to podcasts is not obligatory for relaxation.,Listening to podcasts is obligatory for relaxation.
allowed,obligatory,A,Maintaining a journal is allowed for self-reflection.,Maintaining a journal is not obligatory for self-reflection.,Maintaining a journal is obligatory for self-reflection.
casual,sloppy,A,His casual demeanor made everyone feel at ease.,His sloppy demeanor didn't make everyone feel at ease.,His sloppy demeanor made everyone feel at ease.
casual,sloppy,A,They decided to have a casual date night at home.,They didn't decide to have a sloppy date night at home.,They decided to have a sloppy date night at home.
casual,sloppy,A,"The meeting had a casual atmosphere, encouraging open dialogue.","The meeting didn't have a sloppy atmosphere, discouraging open dialogue.","The meeting had a sloppy atmosphere, encouraging open dialogue."
casual,sloppy,A,He prefers casual shoes for everyday wear.,He doesn't prefer sloppy shoes for everyday wear.,He prefers sloppy shoes for everyday wear.
casual,sloppy,A,Her casual attitude towards the project kept spirits high.,Her sloppy attitude towards the project didn't keep spirits high.,Her sloppy attitude towards the project kept spirits high.
casual,sloppy,A,I love wearing casual clothes when I travel.,I don't love wearing sloppy clothes when I travel.,I love wearing sloppy clothes when I travel.
casual,sloppy,A,Their casual invitation made me feel welcome.,Their sloppy invitation didn't make me feel welcome.,Their sloppy invitation made me feel welcome.
casual,sloppy,A,She likes to keep her presentation style casual.,She doesn't like to keep her presentation style sloppy.,She likes to keep her presentation style sloppy.
casual,sloppy,A,His casual remarks often lighten the mood in the room.,His sloppy remarks don't often lighten the mood in the room.,His sloppy remarks often lighten the mood in the room.
casual,sloppy,A,They organized a casual gathering to celebrate.,They didn't organize a sloppy gathering to celebrate.,They organized a sloppy gathering to celebrate.
casual,sloppy,A,The team adopted a casual dress code to boost morale.,The team didn't adopt a sloppy dress code to boost morale.,The team adopted a sloppy dress code to boost morale.
casual,sloppy,A,The movie night was a casual affair with friends.,The movie night wasn't a sloppy affair with friends.,The movie night was a sloppy affair with friends.
casual,sloppy,A,He enjoys casual conversations over coffee.,He doesn't enjoy sloppy conversations over coffee.,He enjoys sloppy conversations over coffee.
casual,sloppy,A,The festival had a casual vibe that attracted many visitors.,The festival didn't have a sloppy vibe that attracted many visitors.,The festival had a sloppy vibe that attracted many visitors.
casual,sloppy,A,She opted for a casual hairstyle for the event.,She didn't opt for a sloppy hairstyle for the event.,She opted for a sloppy hairstyle for the event.
casual,sloppy,A,The artist prefers to paint in a casual environment.,The artist doesn't prefer to paint in a sloppy environment.,The artist prefers to paint in a sloppy environment.
casual,sloppy,A,His casual approach to learning makes it enjoyable.,His sloppy approach to learning doesn't make it enjoyable.,His sloppy approach to learning makes it enjoyable.
casual,sloppy,A,She loves the casual feel of the beach on weekends.,She doesn't love the sloppy feel of the beach on weekends.,She loves the sloppy feel of the beach on weekends.
casual,sloppy,A,They chose a casual restaurant for dinner.,They didn't choose a sloppy restaurant for dinner.,They chose a sloppy restaurant for dinner.
casual,sloppy,A,He wore a casual shirt to the family gathering.,He didn't wear a sloppy shirt to the family gathering.,He wore a sloppy shirt to the family gathering.
casual,sloppy,A,Her casual smile made everyone feel at home.,Her sloppy smile didn't make everyone feel at home.,Her sloppy smile made everyone feel at home.
casual,sloppy,A,The casual park outing was a great way to relax.,The sloppy park outing wasn't a great way to relax.,The sloppy park outing was a great way to relax.
casual,sloppy,A,He enjoys watching casual movies with friends.,He doesn't enjoy watching sloppy movies with friends.,He enjoys watching sloppy movies with friends.
casual,sloppy,A,The casual game night was a hit among the friends.,The sloppy game night wasn't a hit among the friends.,The sloppy game night was a hit among the friends.
casual,sloppy,A,She decorated her room in a casual style.,She didn't decorate her room in a sloppy style.,She decorated her room in a sloppy style.
casual,sloppy,A,They had a casual chat regarding the project.,They didn't have a sloppy chat regarding the project.,They had a sloppy chat regarding the project.
casual,sloppy,A,His casual remarks during the meeting were refreshing.,His sloppy remarks during the meeting weren't refreshing.,His sloppy remarks during the meeting were refreshing.
casual,sloppy,A,She prefers a casual tone in her emails.,She doesn't prefer a sloppy tone in her emails.,She prefers a sloppy tone in her emails.
casual,sloppy,A,The casual road trip was enjoyable and stress-free.,The sloppy road trip wasn't enjoyable and stress-free.,The sloppy road trip was enjoyable and stress-free.
casual,sloppy,A,He joined the casual book club to meet new people.,He didn't join the sloppy book club to meet new people.,He joined the sloppy book club to meet new people.
casual,sloppy,A,They threw a casual barbecue for their friends.,They didn't throw a sloppy barbecue for their friends.,They threw a sloppy barbecue for their friends.
casual,sloppy,A,The casual walk in the park was refreshing.,The sloppy walk in the park wasn't refreshing.,The sloppy walk in the park was refreshing.
casual,sloppy,A,Her casual outfit was perfect for the warm weather.,Her sloppy outfit wasn't perfect for the warm weather.,Her sloppy outfit was perfect for the warm weather.
casual,sloppy,A,They had a casual conversation during lunch.,They didn't have a sloppy conversation during lunch.,They had a sloppy conversation during lunch.
casual,sloppy,A,He took a casual approach to the assignment.,He didn't take a sloppy approach to the assignment.,He took a sloppy approach to the assignment.
casual,sloppy,A,Her casual laughter filled the room with joy.,Her sloppy laughter didn't fill the room with joy.,Her sloppy laughter filled the room with joy.
casual,sloppy,A,They arranged a casual hangout at the café.,They didn't arrange a sloppy hangout at the café.,They arranged a sloppy hangout at the café.
casual,sloppy,A,The casual nature of the event made it enjoyable.,The sloppy nature of the event didn't make it enjoyable.,The sloppy nature of the event made it enjoyable.
casual,sloppy,A,She enjoys a casual morning routine on weekends.,She doesn't enjoy a sloppy morning routine on weekends.,She enjoys a sloppy morning routine on weekends.
casual,sloppy,A,His casual style was appreciated by everyone at the party.,His sloppy style wasn't appreciated by everyone at the party.,His sloppy style was appreciated by everyone at the party.
casual,sloppy,A,They held a casual discussion about the recent news.,They didn't hold a sloppy discussion about the recent news.,They held a sloppy discussion about the recent news.
casual,sloppy,A,She dressed in a casual outfit for the gathering.,She didn't dress in a sloppy outfit for the gathering.,She dressed in a sloppy outfit for the gathering.
casual,sloppy,A,The casual stroll around the neighborhood was pleasant.,The sloppy stroll around the neighborhood wasn't pleasant.,The sloppy stroll around the neighborhood was pleasant.
casual,sloppy,A,He enjoys casual weekends spent with family.,He doesn't enjoy sloppy weekends spent with family.,He enjoys sloppy weekends spent with family.
casual,sloppy,A,The couple planned a casual picnic in the park.,The couple didn't plan a sloppy picnic in the park.,The couple planned a sloppy picnic in the park.
casual,sloppy,A,Her casual advice helped him through tough times.,Her sloppy advice didn't help him through tough times.,Her sloppy advice helped him through tough times.
casual,sloppy,A,She wore a casual dress to the picnic.,She didn't wear a sloppy dress to the picnic.,She wore a sloppy dress to the picnic.
casual,sloppy,A,He prefers casual conversations over formal ones.,He doesn't prefer sloppy conversations over formal ones.,He prefers sloppy conversations over formal ones.
casual,sloppy,A,They had a casual meeting to discuss the project.,They didn't have a sloppy meeting to discuss the project.,They had a sloppy meeting to discuss the project.
casual,sloppy,A,The weather was casual enough for a light jacket.,The weather wasn't sloppy enough for a light jacket.,The weather was sloppy enough for a light jacket.
casual,sloppy,A,His casual demeanor made everyone feel relaxed.,His sloppy demeanor didn't make everyone feel relaxed.,His sloppy demeanor made everyone feel relaxed.
casual,sloppy,A,She liked the casual vibe of the coffee shop.,She didn't like the sloppy vibe of the coffee shop.,She liked the sloppy vibe of the coffee shop.
casual,sloppy,A,They organized a casual game of soccer.,They didn't organize a sloppy game of soccer.,They organized a sloppy game of soccer.
casual,sloppy,A,The presentation had a casual style that engaged the audience.,The presentation didn't have a sloppy style that engaged the audience.,The presentation had a sloppy style that engaged the audience.
casual,sloppy,A,His casual approach made the discussion enjoyable.,His sloppy approach didn't make the discussion enjoyable.,His sloppy approach made the discussion enjoyable.
casual,sloppy,A,She sent a casual text to check in on him.,She didn't send a sloppy text to check in on him.,She sent a sloppy text to check in on him.
casual,sloppy,A,They dressed in casual clothes for the event.,They didn't dress in sloppy clothes for the event.,They dressed in sloppy clothes for the event.
casual,sloppy,A,He enjoys casual evenings spent with friends.,He doesn't enjoy sloppy evenings spent with friends.,He enjoys sloppy evenings spent with friends.
casual,sloppy,A,The workshop had a casual setup that encouraged participation.,The workshop didn't have a sloppy setup that encouraged participation.,The workshop had a sloppy setup that encouraged participation.
casual,sloppy,A,She prefers casual weekends at home.,She doesn't prefer sloppy weekends at home.,She prefers sloppy weekends at home.
casual,sloppy,A,His casual attitude towards life is refreshing.,His sloppy attitude towards life isn't refreshing.,His sloppy attitude towards life is refreshing.
casual,sloppy,A,The restaurant had a casual atmosphere perfect for families.,The restaurant didn't have a sloppy atmosphere perfect for families.,The restaurant had a sloppy atmosphere perfect for families.
casual,sloppy,A,She prefers casual hairstyles for everyday wear.,She doesn't prefer sloppy hairstyles for everyday wear.,She prefers sloppy hairstyles for everyday wear.
casual,sloppy,A,The concert had a casual feel that was inviting.,The concert didn't have a sloppy feel that was inviting.,The concert had a sloppy feel that was inviting.
casual,sloppy,A,They planned a casual road trip for the summer.,They didn't plan a sloppy road trip for the summer.,They planned a sloppy road trip for the summer.
casual,sloppy,A,He wore a casual outfit to the beach party.,He did not wear a sloppy outfit to the beach party.,He wore a sloppy outfit to the beach party.
casual,sloppy,A,She prefers a casual dress for family gatherings.,She does not prefer a sloppy dress for family gatherings.,She prefers a sloppy dress for family gatherings.
casual,sloppy,A,Their casual approach to work makes the office enjoyable.,"Their approach to work is not sloppy, which makes the office enjoyable.","Their approach to work is sloppy, which makes the office enjoyable."
casual,sloppy,A,He likes to keep a casual tone in his emails.,He does not like to keep a sloppy tone in his emails.,He likes to keep a sloppy tone in his emails.
casual,sloppy,A,The team has a casual vibe during meetings.,The team does not have a sloppy vibe during meetings.,The team has a sloppy vibe during meetings.
casual,sloppy,A,Her casual hairstyle suits her personality well.,Her hairstyle does not look sloppy and suits her personality well.,Her hairstyle looks sloppy and suits her personality well.
casual,sloppy,A,They chose a casual restaurant for their date night.,They did not choose a sloppy restaurant for their date night.,They chose a sloppy restaurant for their date night.
casual,sloppy,A,He enjoys casual weekends spent with friends.,He does not enjoy sloppy weekends spent with friends.,He enjoys sloppy weekends spent with friends.
casual,sloppy,A,I prefer a casual style when attending concerts.,I do not prefer a sloppy style when attending concerts.,I prefer a sloppy style when attending concerts.
casual,sloppy,A,She likes casual games to unwind after work.,She does not like sloppy games to unwind after work.,She likes sloppy games to unwind after work.
casual,sloppy,A,The casual atmosphere at the café attracts many customers.,The atmosphere at the café is not sloppy and attracts many customers.,The atmosphere at the café is sloppy and attracts many customers.
casual,sloppy,A,His casual remarks lightened the mood in the room.,His remarks did not come off as sloppy and lightened the mood in the room.,His remarks came off as sloppy and lightened the mood in the room.
casual,sloppy,A,They opted for a casual meeting to discuss ideas.,They did not opt for a sloppy meeting to discuss ideas.,They opted for a sloppy meeting to discuss ideas.
casual,sloppy,A,Her casual shoes were comfortable for the hike.,Her shoes were not sloppy and were comfortable for the hike.,Her shoes were sloppy and were comfortable for the hike.
casual,sloppy,A,He had a casual attitude towards his studies.,He did not have a sloppy attitude towards his studies.,He had a sloppy attitude towards his studies.
casual,sloppy,A,They threw a casual picnic in the park last weekend.,They did not throw a sloppy picnic in the park last weekend.,They threw a sloppy picnic in the park last weekend.
casual,sloppy,A,She likes to read casual books in her free time.,She does not like to read sloppy books in her free time.,She likes to read sloppy books in her free time.
casual,sloppy,A,His casual demeanor makes him approachable.,"His demeanor is not sloppy, which makes him approachable.","His demeanor is sloppy, which makes him approachable."
casual,sloppy,A,They enjoyed a casual stroll through the park.,They did not enjoy a sloppy stroll through the park.,They enjoyed a sloppy stroll through the park.
casual,sloppy,A,The casual notes in her journal reflect her thoughts.,The notes in her journal do not reflect sloppy thoughts.,The notes in her journal reflect sloppy thoughts.
casual,sloppy,A,She wore a casual dress to the family gathering.,She did not wear a sloppy dress to the family gathering.,She wore a sloppy dress to the family gathering.
casual,sloppy,A,They enjoyed a casual dinner on the patio last night.,They did not enjoy a sloppy dinner on the patio last night.,They enjoyed a sloppy dinner on the patio last night.
casual,sloppy,A,He always dresses in a casual manner when he goes to the park.,He doesn't always dress in a sloppy manner when he goes to the park.,He always dresses in a sloppy manner when he goes to the park.
casual,sloppy,A,They planned a casual evening by the beach with friends.,They didn't plan a sloppy evening by the beach with friends.,They planned a sloppy evening by the beach with friends.
casual,sloppy,A,She prefers a casual style for her weekend outings.,She doesn't prefer a sloppy style for her weekend outings.,She prefers a sloppy style for her weekend outings.
casual,sloppy,A,She wore a casual dress.,She didn't wear a sloppy dress.,She wore a sloppy dress.
casual,sloppy,A,They enjoyed a casual evening at the cafe.,They didn't enjoy a sloppy evening at the cafe.,They enjoyed a sloppy evening at the cafe.
casual,sloppy,A,The meeting had a casual vibe that encouraged open discussion.,The meeting didn't have a sloppy vibe that discouraged open discussion.,The meeting had a sloppy vibe that encouraged open discussion.
casual,sloppy,A,He made a casual remark that lightened the mood.,He didn't make a sloppy remark that lightened the mood.,He made a sloppy remark that lightened the mood.
casual,sloppy,A,She chose a casual hairstyle for the event.,She didn't choose a sloppy hairstyle for the event.,She chose a sloppy hairstyle for the event.
casual,sloppy,A,He wore a casual outfit to the picnic.,He didn't wear a sloppy outfit to the picnic.,He wore a sloppy outfit to the picnic.
casual,sloppy,A,They enjoyed a casual dinner at home.,They didn't enjoy a sloppy dinner at home.,They enjoyed a sloppy dinner at home.
casual,sloppy,A,She prefers casual conversations over formal ones.,She doesn't prefer sloppy conversations over formal ones.,She prefers sloppy conversations over formal ones.
casual,sloppy,A,His outfit for the meeting was quite casual.,His outfit for the meeting was not sloppy.,His outfit for the meeting was quite sloppy.
casual,sloppy,A,The report had a casual tone that seemed unprofessional.,The report did not have a sloppy tone that seemed unprofessional.,The report had a sloppy tone that seemed unprofessional.
cheap,free,A,The store is offering a cheap discount on winter coats.,The store is not offering a free discount on winter coats.,The store is offering a free discount on winter coats.
cheap,free,A,This restaurant serves cheap meals during happy hour.,This restaurant does not serve free meals during happy hour.,This restaurant serves free meals during happy hour.
cheap,free,A,I found a cheap hotel near the beach.,I did not find a free hotel near the beach.,I found a free hotel near the beach.
cheap,free,A,You can buy cheap tickets for the concert next week.,You cannot buy free tickets for the concert next week.,You can buy free tickets for the concert next week.
cheap,free,A,They have a cheap solution for your plumbing problems.,They do not have a free solution for your plumbing problems.,They have a free solution for your plumbing problems.
cheap,free,A,The new phone comes with cheap accessories.,The new phone does not come with free accessories.,The new phone comes with free accessories.
cheap,free,A,I bought a cheap dress for the party.,I did not buy a free dress for the party.,I bought a free dress for the party.
cheap,free,A,The book was available at a cheap price online.,The book was not available at a free price online.,The book was available at a free price online.
cheap,free,A,She found a cheap painting at the flea market.,She did not find a free painting at the flea market.,She found a free painting at the flea market.
cheap,free,A,We got cheap drinks at the bar during happy hour.,We did not get free drinks at the bar during happy hour.,We got free drinks at the bar during happy hour.
cheap,free,A,They are selling cheap electronics at the fair.,They are not selling free electronics at the fair.,They are selling free electronics at the fair.
cheap,free,A,Her cheap haircut looked surprisingly good.,Her free haircut did not look surprisingly good.,Her haircut looked surprisingly good and was free.
cheap,free,A,The college offers cheap tuition rates for students.,The college does not offer free tuition rates for students.,The college offers free tuition rates for students.
